name,type,id,uri,part_of_name,part_of_type,part_of_id
Sidon,city_district,350578,https://ismi.mpiwg-berlin.mpg.de/place/350578,Lebanon,country,174621
Sijistan,null,376768,https://ismi.mpiwg-berlin.mpg.de/place/376768,null,null,null
Siraf,null,360314,https://ismi.mpiwg-berlin.mpg.de/place/360314,Iran,country,174469
Sīwās (NE Turkey),city,85537,https://ismi.mpiwg-berlin.mpg.de/place/85537,null,null,null
Slovakia,country,173935,https://ismi.mpiwg-berlin.mpg.de/place/173935,null,null,null
Spain,country,174730,https://ismi.mpiwg-berlin.mpg.de/place/174730,null,null,null
Sartakht,city,85534,https://ismi.mpiwg-berlin.mpg.de/place/85534,null,null,null
Satarāh,city,456861,https://ismi.mpiwg-berlin.mpg.de/place/456861,India,country,174638
Saudi Arabia,country,179081,https://ismi.mpiwg-berlin.mpg.de/place/179081,null,null,null
"St Andrews, Fife, Scotland",city_district,393060,https://ismi.mpiwg-berlin.mpg.de/place/393060,UK,country,174533
St. Petersburg,city,87260,https://ismi.mpiwg-berlin.mpg.de/place/87260,Russia,country,174659
Stockholm,city,74460,https://ismi.mpiwg-berlin.mpg.de/place/74460,null,null,null
Strasbourg,city,86689,https://ismi.mpiwg-berlin.mpg.de/place/86689,France,country,174775
Suhraward,null,437147,https://ismi.mpiwg-berlin.mpg.de/place/437147,null,null,null
Sulaymaniyah,city,442705,https://ismi.mpiwg-berlin.mpg.de/place/442705,Iraq,country,173298
Sumaysat,null,374813,https://ismi.mpiwg-berlin.mpg.de/place/374813,Syria,country,174694
Sweden,country,178937,https://ismi.mpiwg-berlin.mpg.de/place/178937,null,null,null
Syria,country,174694,https://ismi.mpiwg-berlin.mpg.de/place/174694,null,null,null
Tabaristan,city,314816,https://ismi.mpiwg-berlin.mpg.de/place/314816,Iran,country,174469
Tabrīz,city,484892,https://ismi.mpiwg-berlin.mpg.de/place/484892,Iran,country,174469
Taft,null,412619,https://ismi.mpiwg-berlin.mpg.de/place/412619,Yazd,city,87675
Segovia,city,276430,https://ismi.mpiwg-berlin.mpg.de/place/276430,Spain,country,174730
